"AUVA,2021-09-03 18:53:33"
"ORVA,2021-07-07 15:53:37"
"FALA,2021-07-30 18:43:10"
"FAMN,2021-07-09 20:58:59"
"FANational,2021-05-28 17:22:06"
"TIRSA,2021-01-29 17:13:34"
"FFNational,2021-07-30 18:37:50"
"ALTA,2021-09-09 14:52:02"
"DTIRB,2019-10-29 20:48:16"
"FNIN,2021-09-03 18:52:53"
"CWIN,2021-09-03 18:51:53"
"ORNY,2021-03-09 16:58:40"
"FANC,2021-03-01 21:07:48"
"CTTX,2021-01-29 18:43:11"
"FANE,2021-04-09 17:58:47"
"CTIN,2020-11-20 15:20:57"
"FFIN,2020-10-30 21:26:50"
"FTPA,2020-10-26 20:57:45"
"FFKS,2020-12-30 20:31:19"
"WFNJ,2021-07-23 21:04:27"
"NMLTA,2020-01-06 15:48:22"
"FATX,2021-03-22 19:58:49"
"ORTN,2021-08-27 19:37:10"
"ORFL,2021-01-29 18:47:35"
"FFPA,2020-10-26 20:58:06"
"FFAL,2021-05-03 19:57:52"
"FFID,2020-10-30 18:11:23"
"FFMA,2021-05-10 21:58:08"
"FFMS,2021-06-21 11:19:55"
"FNOK,2020-12-01 21:18:44"
"FNVT,2021-07-01 20:29:24"
"FNWI,2021-07-30 18:24:06"
"FNSC,2021-08-16 18:59:01"
"FNWV,2021-04-21 15:42:14"
"FTMI,2021-07-07 16:11:22"
"FTNH,2021-07-01 21:05:49"
"FAVA,2020-09-18 22:09:46"
"FAWV,2021-05-10 22:08:45"
"FFAK,2020-09-18 16:00:18"
"FFIL,2021-09-17 20:53:15"
"FFME,2021-04-09 17:54:22"
"FFMN,2021-06-15 10:56:51"
"FFNC,2021-05-28 17:48:57"
"FFND,2020-10-30 20:03:32"
"STOH,2021-03-01 21:01:32"
"CWNH,2021-07-01 21:03:28"
"STAZ,2021-02-05 19:17:14"
"CWWI,2021-07-30 18:25:48"
"CWMI,2021-07-07 16:11:38"
"FAMD,2021-03-01 21:08:25"
"FFLA,2021-02-15 20:27:42"
"WCCO,2020-03-23 15:20:16"
