Table, Endorsemnet, Success, Lookup Code, Code, Description, Revised Date, Short Des, Error Details
Endorsement (AZ),End_FAAZ_FA_39,false,FAAZ_FA_39,FAAZ FA.39,Arbitration Clause Modification (F.A. 39)  ,08/01/09,Arbitration Clause Modification Endorsement  ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (KY),End_WCKY_ALTA15_2,false,WCKY_ALTA15_2,WCKY ALTA15.2,ALTA Form 15.2-06 Nonimputation - Partial Equity Transfer (06-17-06; Tech. Correction 08-01-15) EN-1059 (6/6/16) ,06/17/06,ALTA Endorsement 15.2-06 Nonimputation - Partial Equity Transfer ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (ME),End_FAME_Disburse,false,FAME_Disburse,FAME Disburse,,,MAINE DISBURSEMENT ENDORSEMENT ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (ME),End_FAME_116_3_2006,false,FAME_116_3_2006,FAME 116.3,,03/09/07,     Legal Description New Subdivision Endorsement  ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (ME),End_FAME_32_2006_Mod,false,FAME_32_2006_Mod,FAME 32.2006,,02/03/11,     Construction Loan Endorsement   ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (ME),End_FAME_100_12_2006,false,FAME_100_12_2006,FAME 100.12,,03/09/07,     CC&R's Right of Reversion Endorsement  ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (ME),End_FAME_104_7_2006,false,FAME_104_7_2006,FAME 104.7,,03/09/07,     Assignment of Rents - Leases Endorsement  ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (ME),End_FAME_Construct,false,FAME_Construct,FAME Construct,,,CONSTRUCTION LOAN ENDORSEMENT (For Loan Policies Only) MAINE ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (VA),End_ORVA_BalloonMod,false,ORVA_BalloonMod,ORVA BalloonMod,FNMA Balloon Modification Endorsement 3/15/90  ,03/15/90,  ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
Endorsement (VA),End_ORVA_DelOfArb,false,ORVA_DelOfArb,ORVA DelOfArb,Deletion of Arbitration ALTA Policies  ,,DELETION OF ARBITRATION  ,SoftPro.OrderTracking.Client.Lookups.LookupRowValidationException: An entry with a duplicate key field exists. This lookup table does not allow duplicate key field values.   at SoftPro.ClientModel.Proxies.ClientProxy`1.OnHandleFaultException(FaultException exception)   at SoftPro.ClientModel.Proxies.ClientProxy`1.HandleFaultException(FaultException exception)   at SoftPro.OrderTracking.Client.Lookups.LookupsServiceClient.EndApplyChanges(Guid taskId)   at SoftPro.OrderTracking.Client.Lookups.Lookups.SoftPro.OrderTracking.Client.Lookups.ILookups.ApplyChanges(ILookupTable[] tables)   at EndorsementTableUpdater.EditLookupTables.CreateTableRows(SelectServer ss Data data) in C:\Users\timadmin\Documents\Visual Studio 2015\Projects\EndorsementTableUpdater\EndorsementTableUpdater\EditLookupTables.cs:line 156
